Date,BA,SPY,deathIncrease
2020-03-31,149.13999938964844,253.6818084716797,890
2020-04-01,130.6999969482422,242.264892578125,1011
2020-04-02,123.2699966430664,247.85525512695312,1172
2020-04-03,124.5199966430664,244.272705078125,1286
2020-04-06,148.77000427246094,260.6795654296875,1318
2020-04-07,141.5800018310547,260.9453430175781,2024
2020-04-08,146.8699951171875,269.704833984375,2010
2020-04-09,151.83999633789062,273.80902099609375,2043
2020-04-13,147.3300018310547,271.3091125488281,1643
2020-04-14,141.0,279.3108215332031,2336
2020-04-15,145.97999572753906,273.3759765625,2544
2020-04-16,134.24000549316406,274.69482421875,2200
2020-04-17,154.0,282.11578369140625,2119
2020-04-20,143.61000061035156,277.1455078125,1798
2020-04-21,136.3300018310547,268.73046875,2467
2020-04-22,134.97000122070312,274.69482421875,2098
2020-04-23,137.74000549316406,274.67510986328125,1791
2020-04-24,128.97999572753906,278.5037536621094,1895
2020-04-27,128.67999267578125,282.51934814453125,1270
2020-04-28,131.3000030517578,281.2201843261719,2072
2020-04-29,139.0,288.58209228515625,2713
2020-04-30,141.02000427246094,285.8952331542969,2139
2020-05-01,133.3699951171875,278.3265686035156,1779
2020-05-04,131.4600067138672,279.09429931640625,1035
2020-05-05,125.4000015258789,281.67291259765625,2452
2020-05-06,121.86000061035156,279.7635498046875,1948
2020-05-07,128.64999389648438,283.139404296875,2752
2020-05-08,133.44000244140625,287.82427978515625,1798
2020-05-11,128.91000366210938,287.88330078125,892
2020-05-12,125.22000122070312,282.1453552246094,1486
2020-05-13,121.5,277.1553649902344,1704
2020-05-14,122.5199966430664,280.4721984863281,1879
2020-05-15,120.0,281.76153564453125,1507
2020-05-18,135.44000244140625,290.3438415527344,848
2020-05-19,130.44000244140625,287.3616638183594,1326
2020-05-20,133.32000732421875,292.243408203125,1399
2020-05-21,139.0,290.22576904296875,1394
2020-05-22,137.52999877929688,290.7769470214844,1341
2020-05-26,144.72999572753906,294.35943603515625,645
2020-05-27,149.52000427246094,298.7392272949219,1321
2020-05-28,149.82000732421875,298.1880798339844,1231
2020-05-29,145.85000610351562,299.51678466796875,1184
2020-06-01,151.38999938964844,300.7273254394531,668
2020-06-02,153.30999755859375,303.2173767089844,962
2020-06-03,173.16000366210938,307.2527160644531,993
2020-06-04,184.3000030517578,306.44561767578125,893
2020-06-05,205.42999267578125,314.2996520996094,826
2020-06-08,230.5,318.0987854003906,661
2020-06-09,216.74000549316406,315.726806640625,902
2020-06-10,203.41000366210938,313.9650573730469,887
2020-06-11,170.0,295.8653259277344,899
2020-06-12,189.50999450683594,299.40850830078125,775
2020-06-15,190.94000244140625,302.20367431640625,381
2020-06-16,197.77000427246094,308.0203857421875,730
2020-06-17,192.5399932861328,306.74090576171875,767
2020-06-18,192.2899932861328,306.8590087890625,705
2020-06-19,187.02000427246094,305.1053466796875,655
2020-06-22,188.52000427246094,307.0626525878906,286
2020-06-23,187.8800048828125,308.47625732421875,710
2020-06-24,176.69000244140625,300.6074523925781,724
2020-06-25,174.8800048828125,303.8301086425781,647
2020-06-26,170.00999450683594,296.6137390136719,637
2020-06-29,194.49000549316406,300.97320556640625,332
2020-06-30,183.3000030517578,304.8285217285156,596
2020-07-01,180.32000732421875,306.96380615234375,701
2020-07-02,180.80999755859375,308.6542053222656,695
2020-07-06,187.91000366210938,313.4190368652344,243
2020-07-07,178.8800048828125,310.1864929199219,923
2020-07-08,180.0800018310547,312.5589599609375,807
2020-07-09,173.27999877929688,310.7795715332031,867
2020-07-10,178.44000244140625,313.9528503417969,854
2020-07-13,175.64999389648438,311.23431396484375,327
2020-07-14,179.9600067138672,315.26763916015625,736
2020-07-15,187.94000244140625,318.1640625,858
2020-07-16,178.6999969482422,317.1162109375,947
2020-07-17,175.66000366210938,318.0355224609375,951
2020-07-20,174.4199981689453,320.60577392578125,363
2020-07-21,178.6300048828125,321.2878723144531,1039
2020-07-22,179.7899932861328,323.1166687011719,1171
2020-07-23,176.4499969482422,319.2613220214844,1056
2020-07-24,173.75999450683594,317.2051696777344,1176
2020-07-27,170.2100067138672,319.5183410644531,1060
2020-07-28,170.83999633789062,317.4918518066406,1122
2020-07-29,166.00999450683594,321.3966064453125,1492
2020-07-30,161.9499969482422,320.2498779296875,1259
2020-07-31,158.0,322.7805480957031,1312
2020-08-03,162.27000427246094,325.0245666503906,519
2020-08-04,165.07000732421875,326.280029296875,1255
2020-08-05,174.27999877929688,328.3065185546875,1346
2020-08-06,172.1999969482422,330.5011291503906,1251
2020-08-07,170.02000427246094,330.7384033203125,1333
2020-08-10,179.41000366210938,331.7269287109375,426
2020-08-11,180.1300048828125,328.9886474609375,1326
2020-08-12,175.44000244140625,333.5755310058594,1519
2020-08-13,174.72999572753906,332.9724426269531,1163
2020-08-14,178.0800018310547,332.98236083984375,1216
2020-08-17,172.00999450683594,334.0401306152344,407
2020-08-18,170.22999572753906,334.76177978515625,1196
2020-08-19,169.27000427246094,333.367919921875,1420
2020-08-20,169.5800018310547,334.4059143066406,1134
2020-08-21,167.5,335.5921325683594,1123
2020-08-24,178.27000427246094,338.9927673339844,343
2020-08-25,174.72999572753906,340.17901611328125,1147
2020-08-26,171.89999389648438,343.5895080566406,1298
2020-08-27,174.1999969482422,344.34075927734375,1129
2020-08-28,175.8000030517578,346.5650329589844,1024
2020-08-31,171.82000732421875,345.3095703125,366
2020-09-01,172.10000610351562,348.5618896484375,1027
2020-09-02,174.77999877929688,353.6034851074219,1032
2020-09-03,168.77000427246094,341.4344787597656,1070
2020-09-04,171.0500030517578,338.646728515625,998
2020-09-08,161.0800018310547,329.3939208984375,358
2020-09-09,160.77999877929688,335.8985900878906,1084
2020-09-10,157.69000244140625,330.066162109375,1170
2020-09-11,160.22999572753906,330.23419189453125,1018
2020-09-14,165.35000610351562,334.58380126953125,404
2020-09-15,163.49000549316406,336.2742614746094,1031
2020-09-16,167.4600067138672,334.939697265625,1200
2020-09-17,167.52999877929688,331.99383544921875,863
2020-09-18,161.13999938964844,328.17169189453125,901
2020-09-21,156.35000610351562,324.519287109375,287
2020-09-22,156.8000030517578,327.8243103027344,854
2020-09-23,151.17999267578125,320.22174072265625,1159
2020-09-24,146.0500030517578,321.0752868652344,921
2020-09-25,156.02999877929688,326.2660827636719,844
2020-09-28,166.0800018310547,331.6851806640625,257
2020-09-29,163.60000610351562,329.8787841796875,739
2020-09-30,165.25999450683594,332.37994384765625,1061
